Item_ID	Sentence	NP	RC	MatSubj	MatV	Det	HeadNoun	HeadSpecificity	Matrix Clause Type	Adjacency	Type of Antecedent	Relativizer	RClength	CorrectedRClength	Comments	Speaker_ID	Speaker_sex	Speaker_birthdate	Speaker_Age	Speaker_dialect	Speaker_education	Speaker_payment	TURNinCONV	TOPinCONV	Speaker_AB	Conversation_ID	Conversation_topic_ID	Conversation_topic	Conversation_transcription-difficulty	Conversation_topic-variability	Conversation_naturalness
3793:12:00	"it's owens country farms 0 *t*-1 has a free petting, you know, like a farm that you can go to *t*-2"	owens country farms	"0 *t*-1 has a free petting, you know, like a farm that you can go to *t*-2"			owens	farms	nonempty	cleft	adjacent	definite	0	13	14	subj RC with 0 relativizer	1107	" ""FEMALE"""	1961	29	" ""WESTERN"""	2	" ""GIFT"""	50	92	B	2035	358	FAMILY LIFE	1	1	1
127100:65	it's reagan and bush 0 *t*-1 have done this	reagan and bush	0 *t*-1 have done this			0	bush	nonempty	cleft	adjacent	definite	0	3	4	"subj RC with 0 relativer; also, coordinated head"	1353	" ""MALE"""	1943	47	" ""MIXED"""	3	" ""NONE"""	98	138	B	3473	356	EXERCISE AND FITNESS	3	2	2
162131:8	"is he the guy 0 *t*-1 wants *-2 to, like, deregulate heroin, or something?"	"the guy 0 *t*-1 wants *-2 to, like, deregulate heroin, or something"	"0 *t*-1 wants *-2 to, like, deregulate heroin, or something"			the	guy	empty	copula	adjacent	definite	0	10	8		1625	" ""MALE"""	1969	21	" ""NORTH MIDLAND"""	2	" ""CASH"""	39	70	A	4336	312	CRIME	3	3	3
128272:9	there's this one sign 0 *t*-1's kind of funny.	this one sign 0 *t*-1's kind of funny	0 *t*-1's kind of funny	there		this	sign	nonempty	existential	adjacent	definite	0	6	4		1428	" ""MALE"""	1971	19	" ""SOUTHERN"""	2	" ""CASH"""	45	73	A	3503	322	CAPITAL PUNISHMENT	2	3	3
163669:19	i know 0 we have a polio vaccine come 0 *t*-2 will prevent somebody from *-1 getting polio	a polio vaccine come 0 *t*-2 will prevent somebody from *-1 getting polio	0 *t*-2 will prevent somebody from *-1 getting polio	we	have	a	vaccine	nonempty	possessive	1	indefinite	0	9	7	"don't know how to parse ""come"" in this:  should it be ""coming"""	1291	" ""FEMALE"""	1945	45	" ""NYC"""	3	" ""CASH"""	51	95	B	4353	357	FAMILY FINANCE	2	2	1
20908:10	"i have a friend, of mine 0 *t*-1 told me about this program, is the reason that i'm,"	"a friend, of mine 0 *t*-1 told me about this program"	0 *t*-1 told me about this program		have	a	friend	nonempty	possessive	2	indefinite	0	7	5	debatable whether this is an RC	1026	" ""FEMALE"""	1957	33	" ""SOUTHERN"""	2	" ""GIFT"""	98	165	B	2275	339	TV PROGRAMS	1	2	1
5359:31:00	"uh, we had some, uh, some people from our church 0 *t*-1 went to israel, uh, just for a, uh, tour sort of thing."	"some people from our church 0 *t*-1 went to israel, uh, just for a, uh, tour sort of thing"	"0 *t*-1 went to israel, uh, just for a, uh, tour sort of thing"	we	had	some people	church	nonempty	possessive	3	indefinite	0	14	12		1152	" ""FEMALE"""	1947	43	" ""SOUTH MIDLAND"""	2	" ""GIFT"""	21	37	A	2060	349	NEWS MEDIA	2	2	1
36685:22	"um, did you have another, a big tent, like uh, um, like a, 0 *t*-1 looks like a sitting area type, you know, like a two room type mumblex?"	"a big tent, like uh, um, like a, 0 *t*-1 looks like a sitting area type, you know, like a two room type"	"0 *t*-1 looks like a sitting area type, you know, like a two room type"		have	a	tent	nonempty	possessive	5	indefinite	0	15	13	debatable whether this is an RC	1176	" ""FEMALE"""	1959	31	" ""MIXED"""	2	" ""CASH"""	80	121	B	2455	329	WOMEN'S ROLES	1	1	1
143841:24	"i don't know if it was tennessee or arkansas or some, some other state 0 *t*-1 had a visa card that *t*-2 was the lowest one in the country."	"tennessee or arkansas or some, some other state 0 *t*-1 had a visa card that *t*-2 was the lowest one in the country"	0 *t*-1 had a visa card that *t*-2 was the lowest one in the country	it	was	tennessee	state	nonempty	cleft	adjacent	indefinite	0	15	13		1476	" ""MALE"""	1955	35	" ""WESTERN"""	2	" ""CASH"""	81	117	A	3821	304	CREDIT CARD USE	2	1	2
45904:2	"it was, uh, defense 0 *t*-1 w-, w-, won all the games."	defense	"0 *t*-1 w-, w-, won all the games"			0	defense	nonempty	cleft	adjacent	indefinite	0	5	6	subj RC with 0 relativizer	1042	" ""FEMALE"""	1938	52	" ""NEW ENGLAND"""	1	" ""CASH"""	136	229	B	2525	312	CRIME	1	1	1
132071:9	"it's a little place, 0 *t*-1 looks like a castle."	"a little place, 0 *t*-1 looks like a castle"	0 *t*-1 looks like a castle	it		a	place	empty	copula	adjacent	indefinite	0	6	4		1455	" ""FEMALE"""	1960	30	" ""WESTERN"""	2	" ""CASH"""	21	27	A	3565	332	HOME REPAIRS	1	1	1
145214:26	"this is a, uh, a couple, uh, 0 *t*-1 emigrated from china early in, in their lives."	"a couple, uh, 0 *t*-1 emigrated from china early in, in their lives"	"0 *t*-1 emigrated from china early in, in their lives"	this	is	a	couple	nonempty	copula	adjacent	indefinite	0	10	8		1461	" ""FEMALE"""	1962	28	" ""WESTERN"""	2	" ""CASH"""	9	16	A	3883	303	CLOTHING AND DRESS	1	1	1
157668:186	"well, the, the one thing that i know 0 *t*-1 does seem *-2 to happen from people 0 i've talked to *t*-3 on this, is that in the situation 0 you just said *t*-4 where it's nine to three, or some such number *t*-5, that there's, an effect 0 *t*-7 starts *-8 being that there's starts *-6 being a lot of peer pressure going on"	an effect 0 *t*-7 starts *-8 being	0 *t*-7 starts *-8 being	there	said	an	effect	nonempty	existential	adjacent	indefinite	0	5	3	so disfluent it's hard to decide where the RC starts and ends	1551	" ""MALE"""	1962	28	" ""NORTH MIDLAND"""	3	" ""GIFT"""	75	113	B	4166	305	CARE OF THE ELDERLY	1	1	1
44015:12	"oh, there one guy 0 *t*-1 brags about his piece of equipment 0 he's using *t*-2 and the drop cloths and all that kind crap"	one guy 0 *t*-1 brags about his piece of equipment 0 he's using *t*-2 and the drop cloths and all that kind crap	0 *t*-1 brags about his piece of equipment 0 he's using *t*-2 and the drop cloths and all that kind crap	there		one	guy	empty	existential	adjacent	indefinite	0	22	20	debatable whether this is an RC; there could be locative	1019	" ""MALE"""	1941	49	" ""NEW ENGLAND"""	3	" ""GIFT"""	63	121	A	2503	351	PETS	2	1	1
132716:80	"and then you just dip the carcass in, uh, boiling water, pull it out, and there's a, we use a little raspy brush, 0 *t*-1 pulls the hair off, and, uh, gut it, and, uh, just stick it down in a pit with some cloves and, uh, some pineapple, about three pineapples, you know, * sliced them up, and, uh, cover him up with, uh, wet, uh, sacks, feed sacks is what i usually use *t*-2 and then start a charcoal fire on top of him."	"a little raspy brush, 0 *t*-1 pulls the hair off"	0 *t*-1 pulls the hair off	we	use	a	brush	nonempty	other	adjacent	indefinite	0	6	4		1446	" ""MALE"""	1969	21	" ""SOUTH MIDLAND"""	2	" ""CASH"""	67	74	A	3574	302	AIR POLLUTION	1	1	1
36203:41	"i mean, on the other hand, i mean, you take a garbage man in new york city 0 *t*-1 starts out at twenty-six thousand dollars."	a garbage man in new york city 0 *t*-1 starts out at twenty-six thousand dollars	0 *t*-1 starts out at twenty-six thousand dollars	you	mean	a	man	empty	other	adjacent	indefinite	0	8	6		1230	" ""FEMALE"""	1961	29	" ""MIXED"""	2	" ""GIFT"""	68	211	B	2445	321	CAMPING	2	2	2
67336:3	"a person 0 *t*-1 lives across the street from me, uh, brought her home from work because a coworker of hers, uh, had this dog appear on its front doorstep,"	a person 0 *t*-1 lives across the street from me	0 *t*-1 lives across the street from me	a person 0 *t*-1 lives across the street from me	brought	a	person	empty	other	adjacent	indefinite	0	8	6		1052	" ""MALE"""	1930	60	" ""NYC"""	2	" ""CASH"""	86	170	B	2734	322	CAPITAL PUNISHMENT	2	4	3
